ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity,lifecycle,status,grade,lid_grade,coil_score,lid_slope_pct_per_year,proximity_pct,span_years,touches,touch_count,reviewed,review_status,review_id,review_as_of,review_algorithm_version,review_stale,review_effective,data_date,freshness,fetched_at,data_source
6758.T,26.583333333333332,3385.0,0.2031860657697861,0.4,0.0,0.2402762483428149,0.668019093078759,0.29124790619765495,0.6124105011933174,0.874752839245834,2.7713310580204777,0.047235569849679006,0.0494514310528112,0.6188303566788937,0.0,0.7097989949748744,forming,basing,,C,28.7,8.41,66.9,3.83,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:16.461Z,yfinance
SAP.DE,28.333333333333332,140.72000122070312,0.09540056610711295,0.2798721218480812,0.0,0.2055979838329488,0.3149738589922588,0.5036331526606592,0.7334836859327882,0.7497057976440017,0.5990409138606089,0.05242373935216667,0.04611959676658976,0.4998600728060524,0.0,0.6965079601900077,forming,basing,,C,21.0,9.66,42.84,4.42,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:01.815Z,yfinance
9988.HK,6.75,110.5,,,,,,,,,,,,,,,forming,basing,,,12.1,12.03,53.99,2.75,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:19.776Z,yfinance
TD.TO,31.583333333333332,170.69000244140625,0.3770642992587323,0.4658641195084009,0.47793585633508956,0.38255788098588006,0.9815278427518797,0.01323848619894628,0.8047107896608132,1.0,0.4939808963130066,0.025507523946566805,0.024024116108120695,0.3314848103123482,0.0,0.6305931583144833,breaking_out,breaking_out,B,B,44.6,5.8,116.43,3.42,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:08:56.690Z,yfinance
ASML.AS,28.083333333333332,1540.800048828125,0.3469319159012758,0.5430391326785332,0.21934638445038138,0.42526847222361375,0.8787989158481665,0.11499135621589604,0.7462162512569587,0.9028383124728186,4.699551696077756,0.04363050251304016,0.04429391127508945,0.4557998141580445,0.0,0.5869040711045197,breaking_out,breaking_out,C,C,39.1,7.6,127.86,2.67,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:10.875Z,yfinance
8035.T,26.583333333333332,70850.0,0.28736133991545065,0.5340201829958897,0.18339435281515337,0.4176066156961402,0.867525228744862,0.12810730986955451,0.8233542459373131,0.9276872384741413,5.181410974244121,0.04597332682349909,0.045016277390255634,0.50272489319207,0.0,0.5028304208712774,breaking_out,breaking_out,,,26.4,13.49,120.77,2.25,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:18.687Z,yfinance
8306.T,20.916666666666668,3597.0,0.3195276487065314,0.5455555555555556,0.5,0.4969887247961484,1.0,0.0,0.7451041342866024,0.7936560460604648,1.8078947368421052,0.05581135373470581,0.05439774495922969,0.9214510326956991,0.0,0.5421184320266889,post_breakout,broken_out,,A,76.5,0.68,159.17,18.92,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:18.129Z,yfinance
ICICIBANK.NS,24.083333333333332,1409.800048828125,0.6334518860723688,0.8298224128088705,0.7772074249298686,0.7233688558962876,0.9297980354403215,0.06013330078125,0.27006757083261135,0.4044996326577832,3.178744901209482,0.056169223197601974,0.056942726968115184,0.8934579377635014,24.0,0.8385333658854167,post_breakout,broken_out,,A,64.7,0.69,362.84,3.0,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:23.285Z,yfinance
UBSG.SW,31.0,42.2400016784668,0.4687711801474987,0.8,0.4984233245827472,0.4929169296865762,0.9988662310207573,0.0009460052503516956,0.6128465216608402,0.7409184413627202,1.6720936120844512,0.05659768975450655,0.053583385937315244,0.8860962995376965,233.0,1.9134343392056334,post_breakout,broken_out,,A,57.6,1.75,151.49,6.0,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:15.142Z,yfinance
9984.T,26.583333333333332,6478.0,0.06917132526739957,0.35479338315130615,0.0,0.20033249602652287,0.6917459516423493,0.28609213136433764,0.907366452436436,0.9526273140933741,1.160950373634796,0.04264106514275156,0.03671730887683471,0.6091029298424862,0.0,0.3355741679523914,post_breakout,broken_out,,A,52.1,3.41,198.24,3.33,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:17.328Z,yfinance
000660.KS,26.583333333333332,1915000.0,0.09711905952977411,0.4,0.0,0.2151429047857629,0.6371145188043735,0.35888851690659523,0.9621542940320232,0.9754281203884828,2.398176291793313,0.03500062572356,0.04802858095715258,0.3877868416175331,0.0,0.19966521593572145,no_structure,no_structure,,,0.0,,,,,,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:32.567Z,yfinance
005930.KS,26.583333333333332,264500.0,0.009269496548580489,0.29514652014652015,0.0,0.031510220626556285,0.6815102206265563,0.2937249666221629,0.9398343853147259,1.0,0.7135989010989011,0.03173345289820449,-0.01921581000525549,0.3093607147256697,0.0,0.25847797062750333,no_structure,no_structure,,,0.0,,,,,,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:31.328Z,yfinance
