ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity
LEN,46.166666666666664,88.83000183105469,0.231845529943848,0.49685243306628735,0.0,0.19725093615269607,0.3939980586582064,0.5265149953188809,0.6415845718827418,0.823023088372469,2.374114328193912,0.04694636170893185,0.044450187230539215,0.2212876854290099,25.0,0.8905572991988622
TRMB,35.833333333333336,66.51000213623047,0.2311876965442434,0.4949502105203635,0.0124736506891443,0.11536733837958998,0.6080021357916052,0.31070573521896694,0.507975937180194,0.6825368890351979,0.9775112065071376,-0.020848226842360974,-0.00821239382032915,0.005441396253283215,56.0,1.0
CPRT,32.166666666666664,33.290000915527344,0.2310068749987498,0.5191569460934313,0.0,0.2286239619488698,0.4739313812427295,0.48291391215056384,0.5445123287045207,0.8287939882076699,5.097041564580252,0.05449081168250294,0.04676138729723973,0.3312354494172306,24.0,0.9099099771698832
AOS,41.333333333333336,66.93000030517578,0.23058181123676513,0.43064490385599435,0.0,0.2332953987774695,0.5648022072162706,0.27604107610034523,0.57332874580824,0.7329408915631229,0.7400177297102624,0.02201420480886981,0.036444331518484537,0.034819694857896155,25.0,0.9730665446623697
TKO,26.583333333333332,195.3699951171875,0.22877606838098227,0.5199562456641794,0.14307881677241382,0.4439078833822312,0.8499453070802242,0.13911169024671985,0.6284519188503537,0.7340254285054093,3.370393061353473,0.05495429464521103,0.0537925152604014,0.8757877837752137,0.0,0.5201374797112032
SWKS,41.333333333333336,57.279998779296875,0.22741714822100884,0.43204840919375875,0.1792531275896401,0.12339384482553178,0.05990900552575044,0.7192156922583487,0.4672903213159574,0.48720691317255355,0.0,-0.05354777189437537,-0.05023196614950069,0.7335484385412536,60.0,1.0
BLDR,20.916666666666668,87.7699966430664,0.22728665561716407,0.47888888888888886,0.0,0.22609268931864257,0.38293630438354526,0.5911970289211268,0.6156538710183517,0.721759961266016,7.5,0.04891088811487948,0.05021853786372851,0.3611467498422992,25.0,1.0
PODD,19.0,201.49000549316406,0.2269632217828722,0.43754933182774475,0.0,0.2077739562070971,0.5328887352797621,0.4322306054980484,0.5928801983874883,0.8499519690555548,3.7479245167858197,0.005372259609970278,-0.0045768165406133736,0.0022503046097602786,35.0,0.9465453083867958
UHS,41.333333333333336,181.9499969482422,0.2257701730340884,0.3710810272886958,0.09016751271176555,0.271143376151657,0.6445646599277404,0.26135673447917035,0.5189642658090586,0.5737654822035282,0.8389571646921902,0.049431447729323764,0.044423657231230464,0.5617291896018106,0.0,0.7453822077924572
DVA,30.583333333333332,149.4499969482422,0.2256897224648815,0.3593708062497817,0.04469020094675946,0.27221389160977055,0.7786343014541727,0.1678730964958651,0.5770925364302176,0.6875437462193389,0.6476958438259478,0.04075156140093128,0.031189938220373623,0.3490521934798754,0.0,0.7880845683521511
